runbook_id,title,dashboards,key_metrics,first_lever,smoke_tests
R001,Webhook failures and duplicate storms,Dashboard A — System Health (Wave 08) | Security monitoring dashboards (Wave 06),mw.ingress.requests_total | mw.ingress.rejected_total | mw.ingress.ack_latency_ms | mw.worker.jobs_started_total | mw.worker.jobs_failed_total | mw.queue.depth | mw.queue.oldest_age_s | mw.queue.dlq_depth,Set `safe_mode=true` if automation/routing loops are suspected.,ST-060 (idempotency_duplicate_webhook) | ST-070 (kill_switch_automation_disabled)
R002,Misrouting spike,Dashboard C — Quality & Safety (Wave 08) | Dashboard A — System Health (Wave 08),mw.policy.decisions_total | mw.policy.tier0_total | mw.policy.automation_attempt_total | mw.policy.automation_blocked_total,Enter `safe_mode=true` (route-only) if customers are being harmed.,ST-001..ST-005 (route-only baseline set) | ST-050..ST-052 (multi_intent priority enforcement)
R003,Automation wrong reply or PII risk,Dashboard C — Quality & Safety (Wave 08) | Security monitoring dashboards (Wave 06) | Dashboard B — Vendor Health (Wave 08),mw.policy.automation_attempt_total | mw.policy.automation_blocked_total | mw.vendor.richpanel.errors_total | mw.vendor.openai.errors_total,Immediate: `automation_enabled=false` (stop replies).,ST-040 (tier2_verified_no_match) | ST-041 (tier2_verified_match) | ST-010 (tier0 chargeback_dispute) | ST-070/071 (kill switch tests)
R004,Vendor rate limit storm (Richpanel / OpenAI / Shopify),Dashboard B — Vendor Health (Wave 08) | Dashboard A — System Health (Wave 08),mw.vendor.openai.rate_limited_total | mw.vendor.richpanel.rate_limited_total | mw.vendor.shopify.errors_total | mw.vendor.openai.latency_ms | mw.vendor.richpanel.latency_ms | mw.worker.end_to_end_latency_ms | mw.queue.oldest_age_s,Reduce worker reserved concurrency (Wave 07 tuning) to lower QPS.,ST-070 (automation disabled) + confirm routing still works | ST-071 (safe_mode route-only)
R005,Backlog catch-up and DLQ handling,Dashboard A — System Health (Wave 08),mw.queue.depth | mw.queue.oldest_age_s | mw.queue.dlq_depth | mw.worker.jobs_failed_total | mw.worker.jobs_succeeded_total,Increase worker reserved concurrency gradually (Wave 07 playbook).,ST-060 (duplicate webhook/idempotency) | ST-070 (automation disabled during recovery)
R006,Cost spike / token runaway,Dashboard C — Quality & Safety (Wave 08) | Dashboard B — Vendor Health (Wave 08),mw.cost.usd_estimate | mw.cost.tokens_in_total | mw.cost.tokens_out_total | mw.vendor.openai.requests_total | mw.vendor.openai.errors_total,Immediate: `automation_enabled=false` to reduce LLM calls from reply flows.,ST-070 (automation disabled) still routes correctly
R007,Order status automation failure,Dashboard A — System Health (Wave 08) | Dashboard B — Vendor Health (Wave 08),mw.vendor.richpanel.errors_total | mw.vendor.shopify.errors_total | mw.policy.automation_attempt_total | mw.policy.automation_blocked_total | mw.worker.end_to_end_latency_ms,Disable only order-status template(s): `template_enabled.t_order_status_tracking_verified=false`.,ST-002 (route-only order status) | ST-040 (tier2 no match falls back to tier1) | ST-041 (tier2 match includes tracking)
R008,Chargebacks / disputes process (human-only),Dashboard C — Quality & Safety (Wave 08),mw.policy.tier0_total | mw.policy.decisions_total,Keep automation off for Tier 0; ensure policy engine blocks replies.,ST-010 (tier0 chargeback_dispute) | ST-052 (multi-intent tier0 override)
R009,Shipping exceptions / returns workflow (Tier 1 intake),Dashboard A — System Health (Wave 08) | Dashboard C — Quality & Safety (Wave 08),mw.policy.decisions_total | mw.policy.automation_attempt_total | mw.vendor.richpanel.errors_total,If intake replies are wrong/too frequent: disable specific intake template(s).,ST-022 (DNR tier1 intake) | ST-023 (missing items intake) | ST-030 (return request intake) | ST-032 (refund request intake) | ST-071 (safe_mode route-only)
R010,Prompt or template change release,Dashboard A — System Health (Wave 08) | Dashboard C — Quality & Safety (Wave 08) | Go/No-Go checklist (Wave 09),mw.worker.jobs_failed_total | mw.policy.automation_blocked_total | mw.vendor.openai.errors_total,Deploy with automation disabled first; then progressive enablement (Wave 09 runbook).,"Minimum subset: ST-001..ST-005, ST-010, ST-040..ST-041, ST-060, ST-070..ST-071 | Recommended: run full Smoke_Test_Pack_v1.md"
